nombre,url,origen,idioma,licencia,tipo_proyecto,equipo,tema
Korea Grand Culture DB,http://www.grandculture.net/,"Seoul, Korea",,,,The Academy of Korean Studies,Korea
Jangseogak Royal Archives,http://yoksa.aks.ac.kr/,"Seoul, Korea",,,,The Academy of Korean Studies,Korea
Global Shakespeares,http://globalshakespeares.org/,"Cambridge, Massachusetts",,,,George Washington University and MIT,USA
The International Dunhuang Project: The Silk Road Online,http://idp.bl.uk/,Eastern Silk Road,,,"this a truly transnational project which depends on international co-operation to make information
 and images of all manuscripts, paintings, textiles and artefacts from Dunhuang and archaeological sites of the Eastern Silk Road freely available on the Internet and to encourage their use through educational
 and research programmes -- Dagmar Riedel",the website is at the British Library which coordinates the collaboration cf. http://idp.bl.uk/pages/about.a4d,British Library
Digging into Early Colonial Mexico,http://www.lancaster.ac.uk/digging-ecm,"UK, Portugal, Mexico",,,"This is a Spatial Humanities project developing Big Data approaches for the analysis of 16th century colonial documents. We are focusing particularly on the Geographic Relations of New Spain and we are combining techniques from different disciplines, including Corpus Linguistics, Text Mining, Natural Language Processing, Machine Learning, and Geographic Information Systems. The aim is to address questions related to the recording of information about indigenous cultures, the Spanish exploration of indigenous social and religious concepts, the appropriation and ideas about place and space in the indigenous world, and their attitudes towards politics and economy.","Lancaster University, University of Lisbon, Museo del Templo Mayor",Mexico and Central America
"Haiti: An Island Luminous (online exhibit, archive, and scholarly edited collection in dLOC)",http://dloc.com/exhibits/islandluminous,"Florida, USA, Haiti, USA various, France, etc.",,,"An Island Luminous is a site to help readers learn about Haiti’s history. Created by historian Adam M. Silvia and hosted online by Digital Library of the Caribbean, An Island Luminous combines rare books, manuscripts, and photos scanned by archives and libraries in Haiti and the United States with commentary by over one hundred (100) authors from universities around the world.",See http://islandluminous.fiu.edu/contributors1.htm,Haiti
"About Face, Online Exhibit and Archive in dLOC",http://dloc.com/exhibits/aboutface/,"Jamaica, UK, USA",,,"About Face revisits Jamaica's first exhibition to tour Europe after gaining independence in 1962. Use this site to view its images, review the original catalogue and understand the context of Face of Jamaica almost fifty years ago.Face of Jamaica toured Europe for nine months between 1963 and 1964 and it was never viewed in Jamaica. Almost fifty years later, the exhibition About Face: Revisiting Jamaica's First Exhibition in Europe reconsiders that touring show by collating and re-presenting its art and related materials online.","Claudia Hucke, Petrine Archer, Lourdes Santamaria-Wheeler",Jamaica
I ♥ E-Poetry,http://leonardoflores.net/,Puerto Rico,,,"In continuous daily publication since December 2011, this scholarly blog reviews electronic poetry, providing literary, computational, and cultural contexts for readers new to this emergent literary form. With over 400 entries and 19,000 pageviews to date, this project has been nominated for the DH Awards 2012 (http://dhawards.org/dhawards2012/voting/).",Leonardo Flores,International scope
,http://www.casadelasamericas.org/,"Havana, Cuba",,,,Casa de las Americas,
,http://www.humanidadesdigitales.net/,Mexico,,,"Nuestros objetivos son promover y fortalecer la investigación humanística y el cómputo, con especial énfasis en la investigación y educación en países de habla hispana. La RedHD apoya la comunicación entre los humanistas digitales de la región, la formación de recursos humanos, la elaboración de documentación y buenas prácticas, la promoción de los proyectos de HD, la difusión de eventos relacionados así como el impulso y reconocimiento del campo. Adicionalmente promueve proyectos e iniciativas regionales a nivel internacional.
The RedHD seeks to promote and support Digital Humanities with special emphasis on research and teaching in Spanish speaking countries. The RedHD supports communication between digital humanists of the region, human resource formation, documentation and good practice, the dissemination of DH projects as well as the promotion of events related to the recognition of the field. Additionally we hope to promote local and regional projects at an international level.

",RedHD,Mexico; Latin America; International
Proyecto Afrolatin@ / The Afrolatin@ Project,http://afrolatinoproject.org/ ,"Panama, New York",,,"We are 1) collecting oral history narratives from throughout the Afrodescendant diaspora, 2) compiling a searchable digital reference bibliography, 3) working to introduce ICT and DH to the Afrolatin@ community in the diaspora as a way to facilitate digital citizenship, development & education. Using digital tools we intend to curate, digitize and preserve the seldom told story of Afrolatin@s in official histories of Latin American & Caribbean countries",Proyecto Afrolatino,Latin America and Caribbean
Biblioteca Digital de Humanidades ,http://www.uv.mx/bdh/,Mexico,,,"La BDH es un proyecto editorial digital en la modalidad de acceso abierto, de la Dirección General del Área de Humanidades de la Universidad Veracruzana",Universidad Veracruzana,
,http://www.uninorte.edu.co/web/biblioteca,"Barranquilla, Colombia",,,,Biblioteca Karl C. Parrish ,
La Biblioteca Virtual de la Biblioteca Luis Ángel Arango,http://www.banrepcultural.org/blaavirtual/indice,Colombia,,,,,
"Herencia MIA, Catalogo de Cerámicas",http://www.erigaie.org/,Colombia,,,"Fundacion Erigaie is a non-profit research organization on cultural heritage, where professional from anthropology, history and archeology work together. We have been working with our own-designed databases since 2005, and we have explored different platforms mostly for research teams. Recently, we have created two online collections: one for archeological pieces and the other for cultural expression from differents sites in our country.",Fundación Erigaie,"Cultural Heritage, Arqueology, Urban History"
DLoC,http://www.dloc.com/,"Florida, USA",,,"The Digital Library of the Caribbean (dLOC) is a cooperative digital library for resources from and about the Caribbean and circum-Caribbean. dLOC provides access to digitized versions of Caribbean cultural, historical and research materials currently held in archives, libraries, and private collections. dLOC's partners collaborate on preservation and access of existing analog and born-digital materials, as well as the creation of new works and scholarship.",,Caribbean
Ecclesiastical and Secular Sources for Slave Societies,https://slavesocieties.org/,"Vanderbilt University, Nashville, TN, USA",,,"The ESSSS project, directed by Jane Landers and administered at Vanderbilt University, digitally preserves endangered ecclesiastical and secular documents related to Africans and Afro-descended peoples in the Americas. Other non-European groups, such as Chinese and indigenous groups are also represented.  This website provides information about the project and its history and tools that allow researchers to search the ESSSS database containing nearly 300,000 documents from diverse archives in four countries. While most of the documents contained here belong to the eighteenth and nineteenth centuries, there are also Cuban and Spanish Florida documents from the sixteenth century and Brazilian documents from the seventeenth.
","Vanderbilt University Dept. of History, Ctr for Latin American Studies, Jean and Alexander Heard Library, Vanderbilt Special Collections",Brazil; Cuba; Colombia; Spanish Florida
Latin American Public Opinion Project (LAPOP),http://www.vanderbilt.edu/lapop/,"Vanderbilt University, Nashville, TN, USA",,,"The Latin American Public Opinion Project (LAPOP), initiated over two decades ago by Mitchell A. Seligson (LAPOP founder and currently Senior Advisor) and directed by Elizabeth J. Zechmeister, is hosted by Vanderbilt University. LAPOP began with the study of democratic values in one country, Costa Rica, at a time when much of the rest of Latin America was caught in the grip of repressive regimes that widely prohibited studies of public opinion (and systematically violated human rights and civil liberties). Today, fortunately, such studies can be carried out openly and freely in virtually all countries in the region.",,
Asociación Argentina de Humanidades Digitales ,http://aahd.com.ar/,"Buenos Aires, Argentina",,,"La Asociación Argentina de Humanidades Digitales (AAHD) es una comunidad abierta cuyo objetivo es promover la investigación, transmisión y difusión del conocimiento en el campo de las Humanidades Digitales, tendiendo puentes entre distintas disciplinas y líneas de investigación.",,Bs.As. Argentina
,http://wp.lancs.ac.uk/dighum/,"Lancaster, UK",,,"Lancaster’s Digital Humanities Hub brings together internationally recognised centres of excellence in the spatial humanities, corpus linguistics and natural language processing (NLP), and combines these with broad expertise across the digital humanities as a whole.",DH Lancaster,
,http://www.jisc.ac.uk/,"Bristol/London, UK",,,"JISC is a big funding group, with many strategic concerns Many of the digital resources they have funded are at http://www.jisc-content.ac.uk",Jisc,
,http://www.openedition.org/,"Paris, France",,,,OpenEditions,
Darwin Online,http://darwin-online.org.uk/,"London, UK",,,,,
Living Books about LIfe,http://livingbooksaboutlife.org/,UK,,,Experiment in Scientific Digital Publishing,JISC / Open Humanities Press,
CULTURA,http://www.cultura-strep.eu,"Dublin, Ireland",,,"CULTURA is building the next generation of online cultural experience - guiding, assisting and supporting every user's interactions with Europe's cultural treasures. ",,Europe
TransVis,http://www.delightedbeauty.org/vvv/,"Swansea, UK / Berlin, Germany / etc (worldwide collaborators)",,,"New tools for working/playing with multiple differing versions of -- initially, experimentally -- Shakespeare in translations -- the principles have much broader applications ",,
ELMCIP,http://elmcip.net/,"Norway, Scotland, Sweden, Netherlands, Slovenia, Finland, England",,,ELMCIP is a 3-year (2010-2013) collaborative research project that involves 7 European research partners and 1 non-academic partner that investigate how creative communities of practitioners form within a transnational and transcultural context in a globalized and distributed communication environment.,"Scott Rettberg, Jill Walker Rettberg, et. al.",European Electronic Literature
Banco de imágenes del Quijote: 1605-1915,http://www.qbi2005.com/,"Madrid, Spain",,,17063 images of Quixote's editions. ,Centro de Estudios Cervantinos. Universidad Complutense de Madrid,"Iconography, Quixote"
Quijote interactivo,http://quijote.bne.es/libro.html,"Madrid, Spain",,,,BNE,"Edition, Quixote"
The Medici Archive Project,http://www.medici.org/,"Florence, Italy",,,"The Medici Archive Project is digitizing the the Medici Granducal Archival Collection (Mediceo del Principato) comprising over four-million letters distributed in 6,429 covering a chronological span of two hundred years (1537 to 1743)",,Florence; Europe; International
International Dunhuang Project,http://idp.bl.uk/,"London, UK",,,Including various countries globally,,
Hermenia: Literary Studies & Digital Technology Research Group,http://www.hermeneia.net/,"Barcelona, Spain",,,"Presents research on the theoretical, practical, and social consequences of the relationship between literary studies and developing technologies",,Europe and US
Parnaseo,http://parnaseo.uv.es/ ,"Valencia, Spain",,,,Universitat de València,
Transliteracy,http://nlabnetworks.typepad.com/transliteracy/,"Leicester, UK",,,,"Sue Thomas, Demontfort U",Transmedia literacy
"""No Problem Has a Solution"": A Digital Archive of the Book of Disquiet",http://matlit.wordpress.com/projectos/,"Coimbra/Lisbon, Portugal",,,"This is the first time (to my knowledge) that the Portuguese modernist writer Fernando Pessoa--known for inventing a series of heteronyms or literary ""split personalities""--has been the subject of a DH project.","University of Coimbra, Technical University of Lisbon","Producing a TEI-encoded, interactive edition of Fernando Pessoa's Book of Disquiet"
The Book of the Dead,http://totenbuch.awk.nrw.de/,"Cologne/Bonn, Germany",,,,Cologne Center for eHumanities (CCeH),Egypt
CATCOM. Las comedias y sus representantes: base de datos de comedias mencionadas en la documentación teatral (1540-1700),http://catcom.uv.es/,"Valencia, Spain",,,"The objective of project CATCOM is to collect, classify and critically analyze the information on titles of plays that appear in Spanish theatrical documentation, and make it available to researchers in the form of a database. This database will allow users to access a calendar of performances, offers information on these performances (name of the company who performed to play, town where it took place, type of theatrical space where it was performed), locates titles and relates them to alternative titles of the same play and adaptations, and offers a state of the question on their authorship. CATCOM is part of a multi-project titled ""TC/12. Patrimonio teatral clásico español. Textos e instrimentos de investigación"" (http://tc12.uv.es/).",Grupo de investigación DICAT,Spain: Calendar of Early Modern Spanish theatrical performances
Pegasus Data Project,http://www.pegasusdata.com,Lausanne (Switzerland),,,,"Yannick Rochat (EPFL), Martin Grandjean (UNIL)",Worldwide
DECIPHER,http://decipher-research.eu/,"Dublin, Ireland",,,"It aims to support the discovery and exploration of cultural heritage through story and narrative. To do this we are developing new solutions to the whole range of narrative construction, knowledge visualisation and display problems for museums. ",,Several-country consortium
UCL Centre for Digital Humanities,http://www.ucl.ac.uk/dh/,"London, UK",,,Lots of projects happening! see http://www.ucl.ac.uk/dh/projects,UCLDH ,UK
digilibLT - digital library of late-latin texts,http://www.digiliblt.unipmn.it,"vercelli, italy",,,digital library of late latin texts to extend the PHI cdrom 5.3 collection which adopts CC license and allows download in multiple formats,"maurizio lana, raffaella tabacco - department of humanities, university of piemonte orientale",ancient europe mediterranean area
Biblioteca Entre dos Siglos,http://www.ucm.es/info/leethi,"Madrid, Spain",,,"Leethi means European LIteratures from Text to Hypermedia. It is a research group at Complutense University in Madrid, working on  literary  reading and writing on screen. We have developed our own collaborative annotation tool for digitized texts and our Virtual Library on  forgotten authors  in-between (19th-20th and 20th-21th centuries)",LEETHI Group,Europe
Musisque Deoque,http://www.mqdq.it/mqdq/,"Venice, Italy",,,"The “Musisque Deoque. A digital archive of Latin poetry” aims to create a singular Latin poetry’s database, supplemented and updated with critical apparatus and exegetical equipments. ",,Latin poetry
Pede Certo,http://www.pedecerto.eu,"Udine, Italy",,,Pede Certo is a new digital tool for the automatic metrical annotation of Latin hexameters and pentameters. ,,Latin Poetry
Portal Andrés Poza,http://andresdepoza.com,"Bilbao, Spain",,,"This site provides access to legal, historical and literary Italian documents that exist in multiple versions as well as their translations into Spanish. ",Seminario Alfonso Erigoyen,Translations/versioning
The European Library ,http://theeuropeanlibrary.org,"The Hague, Netherlands",,,,,Aggregating data from Europe's libraries
Bantry Estate Papers Archive,http://booleweb.ucc.ie/,"Cork, Ireland",,,"PhD research project to introduce the Bantry Estate Papers to a wide field of users through the sketchbooks, ephemera and personal papers of Richard White, the 2nd Earl of Bantry, Lord Berehaven.  Dissemination through augmentation.",,Bantry Bay/Bantry House/West Cork
Burckhardtsource,http://burckhardtsource.org/,"Pisa, Italy",,,"The platform hosts the semantic critical edition of the letters written to Jacob Burckhardt, reconstructing in open access one of the most important European correspondences of the 19th century. ","Burckhardtsource team, Scuola Normale Superiore, Net7",European correspondence
AUB Digitized Arabic Manuscripts,http://ddc.aub.edu.lb/projects/jafet/manuscripts/,"Beirut, Lebanon",,,This ongoing manuscript digitization project contains works in Arabic from the medieval period to contemporary times.,,manuscripts; digitization
Bibliotheca Alexandrina,http://bib-alex.com/,"Alexandria, Egypt",,,More than 20000 Arabic books available in pdf.,,
Sharing Ancient Wisdoms ,http://www.ancientwisdoms.ac.uk/,"London, Halle, Vienna",,,"SAWs ""present and analyse the tradition of wisdom literatures in Greek and Arabic"" particularly ""those which collected moral and social advice."" D.R.: the institutional base is a European cooperation (Sweden, Britain and Austria), while the texts are circulating in Eurasia ",King's College London,Greek and Arabic wisdom literature; encoded text; RDF; linked data
Corpus Coranicum,http://www.corpuscoranicum.de/,Berlin,,,,Berlin-Brandenburgische Akademie der Wissenschaften,Qur'an
The Global Egyptian Museum,http://www.globalegyptianmuseum.org/,Cairo,,,,"Directed by Dirk van der Plas and Mohamed Saleh Supported by
Comité Internal pour l'Egyptologie (CIPEG)
Committee of the International Council of Museums (ICOM-UNESCO)","At a rough estimate, over 2 million objects from ancient Egypt are kept in about 850 public collections, dispersed over 69 countries around the world. This website aims to collect them into a global virtual museum, which can be visited at any time, from any place"
Nakba Archive,http://www.nakba-archive.org/,"Palestine, Lebanon, US",,,Videos appear to currently be password protected. ,Diana Allan; Mahmoud Zeidan,"Oral history project consisting of interviews with first generation Palestinian refugees living in Lebanon, survivors of the 1948 Nakba. Over 650 interviews were conducted; a selection of these are available online. "
Agha Bozorg,http://www.aghabozorg.ir/search.aspx,Iran,,,,,Iranian database of digital surrogates of manuscripts in Arabic script
AMIR,http://amirmideast.blogspot.com/,Columbia University Libraries,,,,Peter Magierski; Charles Jones,blog to assemble and distribute information on open access material relating to the Middle East
AWOL,http://ancientworldonline.blogspot.com/,"ISAW Library, NYU",,,,Charles Jones,"blog to assemble and distribute information on open access material relating to the Ancient World, including the Ancient Near East"
Yousef Jameel Online Centre,http://jameelcentre.ashmolean.org/,"Ashmolean Museum, Oxford, UK",,,,,making the Eastern Art collections at the Ashmolean Museum available online
Refaiya Library,http://www.refaiya.uni-leipzig.de/,Universitaet Leipzig,,,,Verena Klemm,"database-supported cataloguing, research, and digital presentation of and on the Refaiya family library at Leipzig University Library"
Afghanistan Digital Library,http://afghanistandl.nyu.edu/,NYU Libraries,,,,,"The Afghanistan Digital Library will retrieve and restore works published in Afghanistan between 1870 and 1930; the long-term objective is to collect, catalogue, digitize and provide access to as many of this period's publications as possible. "
Golha,http://www.golha.co.uk/,"Music Department, SOAS, University of London",,,"This project is beautiful, truly - A.G.",Jane Lewisohn,"archive of the BBC-Persian program ""Golha"" broadcast between 1957 and 1979"
Women's World in Qajar Iran,http://www.qajarwomen.org/,Harvard University,,,,Afsaneh Najmabadi,"Explore the lives of women during the Qajar era (1796-1925) through a wide array of materials from private family holdings and participating institutions. Women’s Worlds in Qajar Iran provides bilingual access to thousands of personal papers, manuscripts, photographs, publications, everyday objects, works of art and audio materials, making it a unique online resource for social and cultural histories of the Qajar world"
Islamic Manuscripts,http://art.thewalters.org/browse/category/islamic-manuscripts/,Walters Art Museum Baltimore,,,many of pages of these digitized manuscripts are also available for download on the Walters FlickR pagehttp://www.flickr.com/photos/medmss/sets/,,The Walters’ collection of Islamic Manuscripts showcases masterpieces of illuminated and illustrated manuscripts.
Islamic Manuscripts,http://www.islamicmanuscripts.info/index.html,"Leiden, Netherlands",,,"an amazing resource as a digital storage site, as Witkam has assembled many things that are otherwise difficult to get hold off; includes drafts of his presentations and his work in progress",Jan Just Witkam,Witkam is the retired professor of Islamic codicology at Leiden University; this is his public cloud storage for Islamic MSS related resources so that he can work while on the road
Online Quran Resources,http://www.ahjur.org/quran/virqur.htm,Duke & Hofstra,,,unfortunately the site has not been updated since June 2011,Bruce Lawrence and Dan Varisco,
Quranic Arabic Corpus,http://corpus.quran.com/translation.jsp,"Language Research Group, University of Leeds",,,,Kai Dukes,
Wellcome Arabic Manuscripts Online,http://wamcp.bibalex.org/,"Wellcome Library London, Bibliotheca Alexandrina, and the Department of Digital Humanities of King's College London",,,,,
Yemini Manuscript Digitization Initiative,http://pudl.princeton.edu/collections/pudl0079,three private libraries in Yemen in cooperation with Princeton University Library and State Library Berlin,,,"David Hollenberg is aware of the particular challenges of working in Yemen, since the project has created and distributed on CDrom digital surrogates of MSS whose current owners and physical whereabouts are not identified","David Hollenberg (University of Oregon), director",for more information about the project see http://ymdi.uoregon.edu/
Digital Persian Archive,http://www.asnad.org/en/,Philipps Universitaet Marburg,,,"not clear whether the site (German, Persian, English) is currently actively maintained, the last news item is from 2008, and the team photograph from 2006; Christoph Werner thought more about digital publication on CD Roms and copyright, and the project's creation predated the surge of Creative Commons licenses; considering the considerable challenges of conducting research in Iran, the site is very useful",Christoph Werner," The Project aims at facilitating access to the growing number of available Persian historical deeds and documents, both published and unpublished. It shall allow work on archival material with the help of incorporated facsimiles without recourse to the original - often remote - place of publication or storage. The Database includes ""public"" and ""private"" documents: royal decrees and orders, official correspondence, and shari'a court documents, such as contracts of sale and lease, vaqf deeds, marriage contracts, and court orders. It also serves as a bibliographic reference tool, being a continually updated repertoire of published historical documents. "
The Friedberg Genizah Project,http://www.genizah.org/,"Egypt, Israel",,,"The collection now contains nearly all of the extant fragments.  Photography is now done on a sort of ""green screen,"" so the computer is able to piece together fragment digitally.",,The Genizah fragments
Fondo Paul Kahle,http://www.paulkahle.unito.it/index.php/About/structure_aims?lang=en,"Universita degli studi di Torino, Italy",,,"Kahle was a Protestant pastor who worked on Arabic and Hebrew sources,  focusing on the Hebrew Bible; a theology professor in Bonn, he lost his professorship and lived as a political refugee in Britain from 1939 until 1945; this archives and library are now in Italy ",Bruno Chiesa and Maria Luisa Russo,"inventorying, re-ordering and preservation of archive of Paul Kahle (1875-1964); provision of access to archive for scholars through creation of an online database, with images of the most significant parts of the archive."
